0.67	-0.61	-0.53
0.66	-0.61	-0.52
0.62	-0.62	-0.52
0.55	-0.64	-0.52
0.47	-0.64	-0.53
0.42	-0.64	-0.55
0.42	-0.64	-0.54
0.46	-0.67	-0.51
0.53	-0.67	-0.48
0.61	-0.66	-0.47
0.67	-0.67	-0.47
0.70	-0.68	-0.47
0.68	-0.67	-0.52
0.63	-0.69	-0.59
0.51	-0.65	-0.54
0.44	-0.73	-0.53
0.41	-0.77	-0.50
0.40	-0.74	-0.51
0.41	-0.69	-0.51
0.47	-0.66	-0.47
0.56	-0.67	-0.42
0.63	-0.66	-0.38
0.66	-0.66	-0.36
0.64	-0.68	-0.35
0.58	-0.80	-0.36
0.54	-0.87	-0.43
0.49	-0.74	-0.47
0.46	-0.70	-0.51
0.50	-0.72	-0.55
0.56	-0.68	-0.57
0.62	-0.66	-0.57
0.66	-0.65	-0.53
0.69	-0.68	-0.47
0.70	-0.72	-0.43
0.66	-0.75	-0.43
0.60	-0.78	-0.45
0.57	-0.78	-0.49
0.55	-0.76	-0.53
0.55	-0.73	-0.55
0.58	-0.70	-0.53
0.61	-0.67	-0.48
0.63	-0.66	-0.40
0.62	-0.67	-0.35
0.60	-0.68	-0.29
0.56	-0.68	-0.26
0.54	-0.68	-0.23
0.51	-0.69	-0.21
0.51	-0.71	-0.22
0.54	-0.70	-0.25
0.58	-0.70	-0.28
0.62	-0.83	-0.36
0.66	-0.89	-0.53
0.64	-0.81	-0.58
0.59	-0.73	-0.62
0.58	-0.72	-0.58
0.59	-0.75	-0.53
0.59	-0.77	-0.49
0.60	-0.79	-0.46
0.60	-0.80	-0.45
0.59	-0.80	-0.43
0.57	-0.77	-0.41
0.56	-0.73	-0.38
0.58	-0.70	-0.32
0.62	-0.69	-0.26
0.63	-0.70	-0.22
0.64	-0.71	-0.23
0.60	-0.71	-0.29
0.54	-0.73	-0.35
0.41	-0.77	-0.41
0.36	-0.76	-0.42
0.38	-0.75	-0.33
0.44	-0.74	-0.19
0.53	-0.74	-0.09
0.62	-0.77	-0.11
0.69	-0.77	-0.17
0.74	-0.75	-0.23
0.77	-0.74	-0.25
0.78	-0.77	-0.23
0.74	-0.78	-0.22
0.66	-0.79	-0.25
0.58	-0.78	-0.27
0.53	-0.77	-0.27
0.52	-0.79	-0.26
0.54	-0.79	-0.23
0.56	-0.75	-0.18
0.57	-0.70	-0.16
0.60	-0.67	-0.14
0.61	-0.67	-0.10
0.60	-0.69	-0.08
0.59	-0.73	-0.09
0.60	-0.78	-0.11
0.62	-0.84	-0.11
0.63	-0.86	-0.10
0.64	-0.84	-0.09
0.64	-0.79	-0.05
0.63	-0.74	-0.02
0.62	-0.72	0.02
0.60	-0.71	0.04
0.59	-0.73	0.05
0.59	-0.76	0.04
0.59	-0.77	0.06
0.60	-0.79	0.15
0.66	-0.82	0.16
0.67	-0.82	0.14
0.65	-0.81	0.10
0.64	-0.78	0.08
0.65	-0.75	0.09
0.64	-0.67	0.09
0.66	-0.61	0.06
0.68	-0.60	0.02
0.70	-0.62	-0.01
0.72	-0.70	-0.01
0.75	-0.76	0.04
0.75	-0.82	0.06
0.75	-0.84	0.08
0.73	-0.84	0.05
0.69	-0.84	0.01
0.67	-0.80	-0.04
0.66	-0.77	-0.04
0.63	-0.68	0.02
0.59	-0.59	0.10
0.59	-0.55	0.14
0.60	-0.57	0.15
0.62	-0.62	0.12
0.62	-0.68	0.10
0.60	-0.71	0.09
0.56	-0.74	0.08
0.54	-0.80	0.06
0.57	-0.83	0.03
0.61	-0.72	0.09
0.64	-0.61	0.16
0.67	-0.57	0.24
0.71	-0.55	0.30
0.73	-0.57	0.30
0.75	-0.60	0.29
0.75	-0.62	0.26
0.74	-0.66	0.24
0.72	-0.69	0.23
0.69	-0.72	0.22
0.67	-0.76	0.22
0.66	-0.75	0.23
0.65	-0.69	0.25
0.65	-0.62	0.30
0.64	-0.59	0.35
0.63	-0.57	0.39
0.64	-0.58	0.42
0.63	-0.59	0.42
0.61	-0.61	0.41
0.61	-0.63	0.39
0.62	-0.66	0.39
0.63	-0.66	0.42
0.63	-0.63	0.46
0.64	-0.58	0.49
0.66	-0.55	0.51
0.68	-0.56	0.51
0.69	-0.58	0.53
0.69	-0.59	0.54
0.67	-0.57	0.55
0.64	-0.57	0.55
0.62	-0.59	0.55
0.60	-0.61	0.55
0.58	-0.61	0.56
0.56	-0.59	0.56
0.55	-0.56	0.58
0.55	-0.50	0.58
0.58	-0.54	0.60
0.59	-0.52	0.59
0.58	-0.50	0.60
0.56	-0.49	0.62
0.48	-0.57	0.81
0.52	-0.49	0.88
0.56	-0.51	0.84
0.58	-0.49	0.83
0.62	-0.47	0.79
0.64	-0.53	0.70
0.61	-0.54	0.65
0.50	-0.52	0.61
0.45	-0.50	0.54
0.44	-0.47	0.49
0.45	-0.44	0.50
0.45	-0.40	0.53
0.48	-0.40	0.60
0.49	-0.39	0.67
0.48	-0.38	0.70
0.47	-0.39	0.71
0.46	-0.40	0.73
0.46	-0.42	0.76
0.48	-0.47	0.78
0.51	-0.50	0.81
0.52	-0.48	0.85
0.50	-0.43	0.88
0.48	-0.39	0.89
0.46	-0.35	0.87
0.44	-0.35	0.82
0.42	-0.35	0.76
0.41	-0.35	0.72
0.43	-0.36	0.70
0.45	-0.39	0.70
0.47	-0.39	0.73
0.46	-0.38	0.81
0.42	-0.36	0.89
0.37	-0.35	0.96
0.31	-0.34	0.94
0.31	-0.34	0.88
0.33	-0.35	0.80
0.37	-0.38	0.73
0.44	-0.40	0.70
0.51	-0.44	0.69
0.57	-0.46	0.69
0.55	-0.43	0.72
0.40	-0.37	0.76
0.31	-0.34	0.78
0.27	-0.32	0.78
0.19	-0.33	0.78
0.14	-0.32	0.80
0.15	-0.34	0.85
0.16	-0.33	0.90
0.20	-0.37	0.89
